bloque;period;camera;charact_SBOF;ID original;lat;lon;fecha act;hora act;fecha desact;hora desact;fecha desact real;hora desact real;dias de trabajo;nombre del lugar;habitat;si se quema;quema.celda;Si se caza aqui;caza.celda;caza.celda2;caza.bloque;fuego.bloque;fuego.celda;H;h;conuco.dist.m;conuco.bloque;ln.conuco.dis;buf.fragmen;ln.buf.frag;dist.comun;ln.comun
B05;P1;IS07;b0;Is07;5,459101014;-61,08397398;2015-10-02;12:57:00;2015-12-03;13:00;2015-12-03;13:00:00;62;quebrada Wuarpa;bosque;no;0;antes;2;0;7;20;0;1,5;53;1025,3;5;6,9;30;3,401197382;0,089170229;2,187962138
B05;P3;IS07;bf;Is07-2n;5,4952;-61,0740;2016-02-02;9:23:00;2016-04-03;15:26;2016-04-03;15:26:00;61;San Jose de Monorepa;bosque;no;0;si;1;1;7;20;0;1,5;53;1153,2;5;7,1;60;4,094344562;0,05836814;1,764185108
B05;P2;IS07;Sf;Is07-n;5,5078;-61,1062;2015-12-04;12:00:00;2016-02-01;10:23;2016-02-01;10:23:00;59;San Jose de Wuarpa;arbustral;si;1;no;0;0;7;20;2;1,5;53;2313,8;5;7,7;15;2,708050201;0,049940884;1,608254889
B05;P1;IS17;bf;Is17;5,468123965;-61,08369797;2015-10-01;14:50:00;2015-12-03;13:56;2015-12-03;13:56:00;63;rio Wuarupa;bosque galeria;no;0;si;1;1;7;20;1;1,5;53;78,5;5;4,4;33;3,496507561;0,084393976;2,132910937
B05;P2;IS17;bf;Is17;5,468123965;-61,08369797;2015-12-03;13:56:00;2016-02-01;14:35;2016-02-01;14:35:00;60;rio Wuarupa;bosque galeria;no;0;si;1;1;7;20;1;1,5;53;78,5;5;4,4;33;3,496507561;0,084393976;2,132910937
B05;P3;IS17;s0;Is17-2n;5,4710;-61,0950;2016-02-02;13:15:00;2016-04-03;09:41;2016-02-29;12:08:00;27;San Jose de Monorepa;sabana;si;1;no;0;0;7;20;0;1,5;53;1355,6;5;7,2;19;2,944438979;0,073340619;1,992529511
B05;P1;LEE01;bF;Lee01;5,464605996;-61,09155097;2015-10-01;14:00:00;2015-12-03;11:35;2015-12-03;11:35:00;63;San Jose Monorepa;arbol sabana;si;1;no;0;0;7;20;0;1,5;53;1031,1;5;6,9;16;2,772588722;0,079804628;2,076996403
B05;P3;LEE01;sF;Lee01-2n;5,5009;-61,0827;2016-02-02;10:17:00;2016-04-03;14:46;2016-04-03;14:46:00;61;San Jose de Monorepa;sabana/bosque;si;1;si;1;1;7;20;1;1,5;53;38,1;5;3,6;45;3,80666249;0,053023312;1,66814658
B05;P2;LEE01;sf;Lee01-n;5,4940;-61,0911;2015-12-04;10:27:00;2016-02-01;11:16;2016-02-01;11:16:00;59;San Jose de Wuarpa;bosque primario;no;0;antes;2;0;7;20;3;1,5;53;59,5;5;4,1;50;3,912023005;0,061318522;1,813496864
B05;P1;LEE03;b0;Lee03;5,488863979;-61,09472;2015-10-02;15:45:00;2015-12-03;10:35;2015-12-03;10:35:00;62;quebrada Wuarpa;bosque;no;0;antes;2;0;7;20;0;1,5;53;714,5;5;6,6;44;3,784189634;0,065357981;1,877294467
B05;P2;LEE03;b0;Lee03-n;5,4888;-61,0947;2015-12-04;9:20:00;2016-02-01;11:43;2016-02-01;11:43:00;59;San Jose de Wuarpa;bosque primario;no;0;antes;2;0;7;20;0;1,5;53;713,7;5;6,6;44;3,784189634;0,065400296;1,87794169
B05;P3;LEE03;B0;Lee03-q2;5,4620;-61,0730;2016-02-01;15:39:00;2016-04-03;12:20;2016-02-22;15:42:09;21;San Jose de Monorepa;bosque;no;0;antes;2;0;7;20;0;1,5;53;1312,0;5;7,2;73;4,290459441;0,091576429;2,214588818
B05;P1;LEE04;bf;Lee04;5,480016042;-61,08581297;2015-10-01;17:50:00;2015-12-03;15:00;2015-12-03;15:00:00;63;rio Wuarupa;bosque;no;0;si;1;1;7;20;1;1,5;53;1329,6;5;7,2;38;3,63758616;0,074106597;2,002919465
B06;P3;IS03;S0;Is03-2n;5,5097;-61,1443;2016-02-05;16:33:00;2016-03-31;15:30;2016-02-15;11:16:58;10;Wuarapata;sabana;si;1;no;0;0;7;30;1;1,61;20,3;1380,0;5;7,2;28;3,33220451;0,011819002;0,16712349
B06;P1;IS10;BF;Is10;5,49223803;-61,15459001;2015-09-29;16:30:00;2016-03-30;09:10;2016-03-30;9:10:00;61;quebrada Maura;bosque;no;0;si;1;1;7;30;1;1,61;20,3;925,6;5;6,8;70;4,248495242;0,019564237;0,671118142
B06;P2;IS10;BF;Is10;5,49223803;-61,15459001;2015-09-29;16:30:00;2016-03-30;09:10;2016-03-30;9:10:00;61;quebrada Maura;bosque;no;0;si;1;1;7;30;1;1,61;20,3;925,6;5;6,8;70;4,248495242;0,019564237;0,671118142
B06;P3;IS10;BF;Is10;5,49223803;-61,15459001;2015-09-29;16:30:00;2016-03-30;09:10;2016-03-30;9:10:00;61;quebrada Maura;bosque;no;0;si;1;1;7;30;1;1,61;20,3;925,6;5;6,8;70;4,248495242;0,019564237;0,671118142
B06;P1;IS11;s0;Is11;5,518101985;-61,18875498;2015-09-30;12:00:00;2015-12-02;12:16;2015-12-02;12:16:00;63;conuco Feliciano;borde bosque sabana;no;0;si;1;1;7;30;2;1,61;20,3;166,3;5;5,1;17;2,833213344;0,033425067;1,206721023
B06;P3;IS11;S0;Is11-2n;5,5238;-61,1584;2016-02-07;17:10:00;2016-04-01;17:31;2016-04-01;17:31:00;54;Wuarapata;sabana;si;1;no;0;0;7;30;0;1,61;20,3;2717,0;5;7,9;11;2,397895273;0,012261698;0,203895291
B06;P2;IS11;b0;Is11-n;5,5216;-61,1907;2015-12-02;12:45:00;2016-02-03;09:32;2016-02-03;9:32:00;63;Wuarapata;bosque primario;no;0;no;0;0;7;30;1;1,61;20,3;310,8;5;5,7;37;3,610917913;0,036147956;1,285035325
B06;P1;IS18;S0;Is18;5,491164979;-61,17481202;2015-09-29;12:50:00;2015-12-01;14:35;2015-12-01;14:35:00;63;quebrada Auriepa;borde bosque;si;1;no;0;0;7;30;3;1,61;20,3;805,4;5;6,7;9;2,197224577;0,027932301;1,02719868
B06;P3;IS18;s0;Is18-2n;5,5075;-61,1620;2016-02-03;11:41:00;2016-03-31;14:36;2016-03-01;11:59:35;27;Wuarapata;sabana;si;1;no;0;0;7;30;2;1,61;20,3;1444,9;5;7,3;9;2,197224577;0,007415601;-0,298999103
B06;P2;IS18;bF;Is18-n;5,5153;-61,1837;2015-12-02;11:00:00;2016-02-03;08:37;2016-02-03;8:37:00;63;Wuarapata;bosque primario;no;0;no;0;0;7;30;2;1,61;20,3;235,7;5;5,5;64;4,158883083;0,028017754;1,030253281
B06;P1;LEE05;sF;Lee05;5,49633896;-61,15676897;2015-09-29;10:30:00;2015-12-01;10:05:50;2015-12-01;10:05:50;63;quebrada Maura;bosque;no;0;si;1;1;7;30;4;1,61;20,3;932,5;5;6,8;23;3,135494216;0,015439203;0,434324838
B06;P2;LEE05;sF;Lee05;5,49633896;-61,15676897;2015-12-01;10:05:00;2016-01-31;11:21:00;2016-01-31;11:21:00;61;quebrada Maura;bosque;no;0;si;1;1;7;30;4;1,61;20,3;932,5;5;6,8;23;3,135494216;0,015439203;0,434324838
B06;P3;LEE05;SF;Lee05-n;5,4980;-61,1461;2016-01-30;12:59:00;2016-03-31;10:20;2016-03-30;11:19:00;60;Wuarapata;sabana/bosque;si;1;no;0;0;7;30;0;1,61;20,3;271,3;5;5,6;37;3,610917913;0,01695447;0,52794645
B06;P1;LEE06;bF;Lee06;5,490932968;-61,16616399;2015-09-29;14:09:00;2015-12-01;13:38;2015-11-02;23:48:10;34;conuco cap. Narcizo;bosque;no;0;si;1;1;7;30;4;1,61;20,3;263,6;5;5,6;76;4,33073334;0,023198328;0,841495114
B07;P4;IS07_K;B0;IS07_K;5,728667;-61,823162;2018-05-05;9:27:00;2018-07-08;15:00;2018-07-01;20:15:00;57;Ptari tepui;bosque;no;0;si;1;1;3;2;0;1,61;94,4;7767,0;0;9,0;95;4,556459869;0,010232709;-4,582165921
B07;P4;IS18_K;B0;IS18_K;5,705220;-61,830347;2018-05-07;10:27:00;2018-07-08;13:53;2018-07-08;13:53:00;62;Ptari tepui;bosque;no;0;si;1;1;3;2;0;1,61;94,4;5027,0;0;8,5;99;4,595001661;0,002780249;-5,885214805
B07;P4;IS20_K;B0;IS20_K;5,713684;-61,827667;2018-05-05;7:51:00;2018-07-08;14:00;2018-07-08;14:00:00;64;Ptari tepui;bosque;no;0;si;1;1;3;2;0;1,61;94,4;6215,0;0;8,7;98;4,589965173;0,023097320;-3,768038667
B07;P4;IS23_K;b0;IS23_K;5,726831;-61,809609;2018-05-05;11:51:00;2018-07-08;15:54;2018-07-08;15:54:00;64;Ptari tepui;bosque;no;0;no;0;0;3;2;0;1,61;94,4;8203,0;0;9,0;78;4,359253023;0,072467572;-2,624616099
B08;P4;IS09_K;bf;IS09_K;5,626985;-61,696686;2018-05-09;10:35:00;2018-07-05;16:17;2018-07-05;16:17:00;57;cierra;bosque;no;0;antes;2;0;0;28;1;1,57;48,1;1629,0;2;7,4;60;4,099162935;0,004595446;-5,382689402
B08;P4;IS15_K;b0;IS15_K;5,631528;-61,694311;2018-05-09;11:15:00;2018-07-09;11:36;2018-07-09;11:36:00;61;cierra;bosque;no;0;antes;2;0;0;28;0;1,57;48,1;1114,0;2;7,0;41;3,723703497;0,015928206;-4,139663748
B08;P4;IS16_K;bF;IS16_K;5,637459;-61,748118;2018-05-08;12:18:00;2018-07-07;11:00;2018-07-07;11:00:00;60;Chiru Maru;bosque;no;0;antes;2;0;0;28;2;1,57;48,1;824,0;2;6,7;65;4,174248799;0,026920305;-3,614874453
B08;P4;IS19_K;bf;IS19_K;5,629959;-61,744264;2018-05-08;13:30:00;2018-07-07;10:30;2018-07-07;10:30:00;60;Coromoio;bosque;no;0;antes;2;0;0;28;1;1,57;48,1;125,0;2;4,8;46;3,835208913;0,014762333;-4,215676381
