nr conseq;nr org;bloque;periodo;camara;charact;char2;evento;fotos;lat;long;dia;mes;ano;hora.ini;hora.fin;duracion;action;species;activity;number of animals;confidence;dieta;tamano
147;175;B01;P1;IS13;S0;S0;IS13_E137;3;5,5221;-61,2720;9;10;2015;01:30:17;01:30:19;00:00:02;MP;D.novemcinctus;passing;1;5;insect;mediano
148;2320;B03;P1;IS20;s0;s01;IS20_E5;9;5,5527;-61,0579;16;10;2015;03:22:02;03:22:15;00:00:13;MP;D.novemcinctus;passing;1;4;insect;mediano
149;2360;B04;P1;IS21;s0;s01;IS21_E7;9;5,5469;-61,1774;14;10;2015;19:22:54;19:23:14;00:00:20;MP;D.novemcinctus;passing;1;5;insect;mediano
150;2400;B04;P1;IS22;Bf;Bf;IS22_E3;30;5,5561;-61,1851;5;10;2015;06:40:48;06:41:51;00:01:03;MP;E.barbara;passing;1;5;carniv;mediano
151;2483;B04;P1;IS01;b0;b01;IS01_E3;1;5,5622;-61,1852;6;10;2015;20:45:36;20:45:36;00:00:00;MP;L.pardalis;passing;1;5;carniv;grande
152;2568;B05;P1;IS03;sF;sF2;IS03_E14;3;5,5304;-61,0949;31;10;2015;00:54:52;00:54:54;00:00:02;MP;L.pardalis;passing;1;5;carniv;grande
153;2880;B06;P1;LEE05;sF;sF2;LEE05_E7;3;5,4963;-61,1568;30;10;2015;17:39:44;17:39:44;00:00:00;MP;L.pardalis;passing;1;5;carniv;grande
154;2544;B04;P1;LEE07;s0;s01;LEE07_E2;6;5,5601;-61,1799;18;10;2015;01:35:06;01:35:11;00:00:05;MP;L.wiedii;passing;1;5;carniv;pequeno
155;2249;B03;P1;IS05;B0;B0;IS05_E6;15;5,5519;-61,0519;21;10;2015;02:23:21;02:23:39;00:00:18;MP;M.americana;passing;1;4;herb;grande
156;2646;B05;P1;IS07;b0;b01;IS07_E9;6;5,4591;-61,0840;21;10;2015;05:39:34;05:39:38;00:00:04;MP;M.americana;passing;1;1;herb;grande
157;2415;B04;P1;IS22;Bf;Bf;IS22_E18;27;5,5561;-61,1851;22;10;2015;22:27:52;22:28:51;00:00:59;MP;M.americana;passing;1;5;herb;grande
158;2915;B06;P1;LEE06;bF;bF2;LEE06_E3;1;5,4909;-61,1662;1;10;2015;02:32:31;02:32:31;00:00:00;MP;M.americana;passing;1;5;herb;grande
159;2328;B03;P1;IS20;s0;s01;IS20_E13;9;5,5527;-61,0579;30;10;2015;22:03:01;22:04:01;00:01:00;MP;M.americana;eating;1;5;herb;grande
160;2250;B03;P1;IS05;B0;B0;IS05_E7;3;5,5519;-61,0519;21;10;2015;09:47:46;09:47:46;00:00:00;MP;M.gouazoubira;passing;1;4;herb;grande
161;2251;B03;P1;IS05;B0;B0;IS05_E8;6;5,5519;-61,0519;21;10;2015;10:03:41;10:03:47;00:00:06;MP;M.gouazoubira;passing;1;4;herb;grande
162;2321;B03;P1;IS20;s0;s01;IS20_E6;12;5,5527;-61,0579;16;10;2015;07:21:07;07:21:24;00:00:17;MP;M.gouazoubira;passing;1;4;herb;grande
163;2322;B03;P1;IS20;s0;s01;IS20_E7;18;5,5527;-61,0579;19;10;2015;10:25:46;10:26:26;00:00:40;MP;M.gouazoubira;passing;1;5;herb;grande
164;2326;B03;P1;IS20;s0;s01;IS20_E11;3;5,5527;-61,0579;28;10;2015;05:40:34;05:40:35;00:00:01;MP;M.gouazoubira;passing;1;5;herb;grande
165;2486;B04;P1;IS01;b0;b01;IS01_E6;2;5,5622;-61,1852;14;10;2015;09:04:25;09:04:40;00:00:15;MP;M.gouazoubira;passing;1;3;herb;grande
166;2413;B04;P1;IS22;Bf;Bf;IS22_E16;27;5,5561;-61,1851;19;10;2015;09:59:53;10:00:48;00:00:55;MP;M.gouazoubira;passing;1;5;herb;grande
167;2855;B06;P1;IS11;s0;s01;IS11_E4;3;5,5181;-61,1888;12;10;2015;12:32:50;12:32:50;00:00:00;MP;M.gouazoubira;passing;1;5;herb;grande
168;2639;B05;P1;IS07;b0;b01;IS07_E2;12;5,4591;-61,0840;4;10;2015;12:20:28;12:20:40;00:00:12;MP;M.tridactyla;passing;1;5;insect;grande
169;2303;B03;P1;IS19;B0;B0;IS19_E9;6;5,5745;-61,0497;19;10;2015;17:02:40;17:02:46;00:00:06;MP;N.nasua;passing;1;5;omniv;mediano
170;153;B01;P1;IS13;S0;S0;IS13_E115;6;5,5221;-61,2720;8;10;2015;03:18:13;03:18:38;00:00:25;MP;O.virginianus;passing;1;2;herb;grande
171;312;B01;P1;IS13;S0;S0;IS13_E274;12;5,5221;-61,2720;20;10;2015;12:35:30;12:35:42;00:00:12;MP;O.virginianus;passing;1;5;herb;grande
172;2498;B04;P1;IS23;b0;b01;IS23_E2;6;5,5695;-61,1765;5;10;2015;22:38:22;22:38:31;00:00:09;MP;P.maximus;passing;1;5;insect;grande
173;2760;B05;P1;LEE03;b0;b01;LEE03_E2;3;5,4889;-61,0947;3;10;2015;04:36:37;04:36:38;00:00:01;MP;P.onca;passing;1;5;carniv;grande
174;2811;B05;P1;LEE04;bf;bf1;LEE040312_E4;3;5,4800;-61,0858;2;10;2015;17:13:44;17:13:44;00:00:00;MP;P.onca;passing;1;4;carniv;grande
176;2657;B05;P1;IS17;bf;bf1;IS17_E6;6;5,4681;-61,0837;28;10;2015;16:10:30;16:11:00;00:00:30;MP;T.pecari;passing;1;3;omniv;grande
177;2323;B03;P1;IS20;s0;s01;IS20_E8;6;5,5527;-61,0579;20;10;2015;02:07:14;02:07:20;00:00:06;MP;T.tetradactyla;passing;2;5;insect;mediano
178;7009;B06;P3;IS10;BF;BF3;IS10_E5;18;5,4922;-61,1546;12;10;2015;22:47:04;22:47:44;00:00:40;MP;C.paca;passing;1;5;herb;mediano
179;7010;B06;P3;IS10;BF;BF3;IS10_E6;9;5,4922;-61,1546;20;10;2015;01:54:58;01:55:07;00:00:09;MP;C.paca;passing;1;5;herb;mediano
